,Poet,birthday
0,Aleida%20Rodríguez,/poets/aleida-rodriguez
1,Elizabeth%20Hands,/poets/elizabeth-hands
2,Natalie%20Rose%20Richardson,/poets/natalie-rose-richardson
3,Lisa%20Wells,/poets/lisa-wells
4,Ford%20Madox%20Ford,/poets/ford-madox-ford
5,George%20Bradley,/poets/george-bradley
6,Mary%20Weston%20Fordham,/poets/mary-weston-fordham
7,Meena%20Alexander,/poets/meena-alexander
8,Michael%20Lally,/poets/michael-lally
9,Laurence%20Binyon,/poets/laurence-binyon
10,Kevin%20Griffith,/poets/kevin-griffith
11,Joseph%20Spece,/poets/joseph-spece
12,Ed%20Ochester,/poets/ed-ochester
13,Urayoán%20Noel,/poets/urayoan-noel
14,Michael%20Drayton,/poets/michael-drayton
15,Brooklyn%20Copeland,/poets/brooklyn-copeland
16,Barton%20Sutter,/poets/barton-sutter
17,Robert%20W.%20Service,/poets/robert-w-service
18,John%20Milton,/poets/john-milton
19,Cathy%20Linh%20Che,/poets/cathy-linh-che
20,Vicki%20Hearne,/poets/vicki-hearne
21,Sherman%20Alexie,/poets/sherman-alexie
22,Jennifer%20Bartlett,/poets/jennifer-bartlett
23,Francis%20Ponge,/poets/francis-ponge
24,George%20H.%20Dillon,/poets/george-h-dillon
25,Molly%20Fisk,/poets/molly-fisk
26,Eva%20Saulitis,/poets/eva-saulitis
27,León%20Salvatierra,/poets/leon-salvatierra
28,Nicole%20Pekarske,/poets/nicole-pekarske
29,Sheena%20Raza%20Faisal,/poets/sheena-faisal
30,Kathryn%20Nuernberger,/poets/kathryn-nuernberger
31,Cathy%20Tagnak%20Rexford,/poets/cathy-tagnak-rexford
32,Jody%20Gladding,/poets/jody-gladding
33,Mary%20Carolyn%20Davies,/poets/mary-carolyn-davies
34,Natasha%20Sajé,/poets/natasha-saje
35,Kelle%20Groom,/poets/kelle-groom
36,Valzhyna%20Mort,/poets/valzhyna-mort
37,Nicole%20Brossard,/poets/nicole-brossard
38,Femi%20Osofisan,/poets/femi-osofisan
39,John%20Greenleaf%20Whittier,/poets/john-greenleaf-whittier
40,Camille%20Rankine,/poets/camille-rankine
41,Jennifer%20S.%20Flescher,/poets/jennifer-flescher
42,Anthony%20Opal,/poets/anthony-opal
43,Peter%20Ciccariello,/poets/peter-ciccariello
44,Lorenzo%20Thomas,/poets/lorenzo-thomas
45,Jan%20Owen,/poets/jan-owen
46,Ashleigh%20Young,/poets/ashleigh-young
47,Tomas%20Venclova,/poets/tomas-venclova
48,erica%20lewis,/poets/erica-lewis
49,Tom%20Sleigh,/poets/tom-sleigh
50,Maxine%20Scates,/poets/maxine-scates
51,Todd%20Hearon,/poets/todd-hearon
52,Oni%20Buchanan,/poets/oni-buchanan
53,Stuart%20Dybek,/poets/stuart-dybek
54,Mario%20Meléndez,/poets/mario-melndez
55,Raina%20J.%20León,/poets/raina-j-leon
56,Pauletta%20Hansel,/poets/pauletta-hansel
57,Ailish%20Hopper,/poets/ailish-hopper
58,Patrick%20Hicks,/poets/patrick-hicks
59,Donna%20Masini,/poets/donna-masini
60,John%20Masefield,/poets/john-masefield
61,Bill%20Berkson,/poets/bill-berkson
62,Catherine%20Wing,/poets/catherine-wing
63,Henry%20Carlile,/poets/henry-carlile
64,Matilda%20Bethem,/poets/matilda-bethem
65,Nancy%20Willard,/poets/nancy-willard
66,David%20Hernandez,/poets/david-hernandez-56d20616a9bf3
67,Joanne%20Diaz,/poets/joanne-diaz
68,John%20Maloney,/poets/john-maloney
69,Paul%20Killebrew,/poets/paul-killebrew
70,Sarah%20Manguso,/poets/sarah-manguso
71,Debra%20Wierenga,/poets/debra-wierenga
72,Sharon%20Chmielarz,/poets/sharon-chmielarz
73,Thomas%20Pfau,/poets/thomas-pfau
74,Sheila%20Black,/poets/sheila-black
75,Elfriede%20Jelinek,/poets/elfriede-jelinek
76,Richard%20Jones,/poets/richard-jones
77,William%20E.%20Stafford,/poets/william-e-stafford
78,Ryo%20Yamaguchi,/poets/ryo-yamaguchi
79,Kevin%20A.%20González,/poets/kevin-a-gonzalez
80,A.B.%20Jackson,/poets/ab-jackson
81,Jacques%20Darras,/poets/jacques-darras
82,Paul%20Laurence%20Dunbar,/poets/paul-laurence-dunbar
83,Thomas%20Merton,/poets/thomas-merton
84,Lisel%20Mueller,/poets/lisel-mueller
85,H.%20D.,/poets/h-d
86,Susan%20Kinsolving,/poets/susan-kinsolving
87,Christopher%20Middleton,/poets/christopher-middleton
88,James%20Lenfestey,/poets/james-p-lenfestey
89,Alice%20Cary,/poets/alice-cary
90,Barbara%20Köhler,/poets/barbara-koehler
91,Tess%20Taylor,/poets/tess-taylor
92,Lev%20Oborin,/poets/lev-oborin
93,Sheryl%20Luna,/poets/sheryl-luna
94,Elizabeth%20Alexander,/poets/elizabeth-alexander
95,Su%20Tung-Po,/poets/su-tung-po
96,Roger%20Mitchell,/poets/roger-mitchell
97,Frank%20Bidart,/poets/frank-bidart
98,Agha%20Shahid%20Ali,/poets/agha-shahid-ali
99,Christopher%20Shannon,/poets/christopher-shannon
100,Lily%20Cao,/poets/lily-cao
101,Mark%20Nickels,/poets/mark-nickels
102,Calvin%20Forbes,/poets/calvin-forbes
103,Shara%20McCallum,/poets/shara-mccallum
104,Laura%20Dimmit,/poets/laura-dimmit
105,Nathaniel%20Hawthorne,/poets/nathaniel-hawthorne
106,Susanna%20Blamire,/poets/susanna-blamire
107,Claudia%20La%20Rocco,/poets/claudia-la-rocco
108,Mark%20Defoe,/poets/mark-defoe
109,Marge%20Piercy,/poets/marge-piercy
110,Elizabeth%20Metzger,/poets/elizabeth-metzger-sampson
111,Orlando%20White,/poets/orlando-white
112,Anacreon,/poets/anacreon
113,Robert%20Francis,/poets/robert-francis
114,Imru'al-qays,/poets/imru'al-qays
115,Susan%20Rolston,/poets/susan-rolston
116,John%20Berryman,/poets/john-berryman
117,Gary%20Soto,/poets/gary-soto
118,Elizabeth%20Seydel%20Morgan,/poets/elizabeth-seydel-morgan
119,Jacob%20Polley,/poets/jacob-polley
120,George%20Scarbrough,/poets/george-scarbrough
121,Jane%20Yolen,/poets/jane-yolen
122,Petrarch,/poets/petrarch
123,Helen%20Hoyt,/poets/helen-hoyt
124,P.%20Ivan%20Young,/poets/p-ivan-young
125,Joshua%20Edwards,/poets/joshua-edwards
126,Richard%20Michelson,/poets/richard-michelson
127,Marilyn%20Hacker,/poets/marilyn-hacker
128,Jason%20Schneiderman,/poets/jason-schneiderman
129,Ernest%20Dowson,/poets/ernest-dowson
130,Patricia%20Goedicke,/poets/patricia-goedicke
131,Jim%20Carroll,/poets/jim-carroll
132,Jameson%20Fitzpatrick,/poets/jameson-fitzpatrick
133,Dylan%20Horrocks,/poets/dylan-horrocks
134,Connie%20Deanovich,/poets/connie-deanovich
135,Amy%20Beeder,/poets/amy-beeder
136,Matthew%20Prior,/poets/matthew-prior
137,Dorothea%20Tanning,/poets/dorothea-tanning
138,Phillis%20Wheatley,/poets/phillis-wheatley
139,Brenda%20Cárdenas,/poets/brenda-cardenas
140,Afaa%20Michael%20Weaver,/poets/afaa-michael-weaver
141,Judith%20Askew,/poets/judith-askew
142,James%20Brown,/poets/james-brown
143,CM%20Burroughs,/poets/cm-burroughs
144,Lily%20A.%20Long,/poets/lily-a-long
145,Luke%20Davies,/poets/luke-davies
146,Nico%20Vassilakis,/poets/nico-vassilakis
147,Roger%20Reeves,/poets/roger-reeves
148,Sidney%20Lanier,/poets/sidney-lanier
149,Quan%20Barry,/poets/quan-barry
150,Wendy%20Rose,/poets/wendy-rose
151,Emelihter%20Kihleng,/poets/emelihter-kihleng
152,Robbie%20Coburn,/poets/robbie-coburn
153,Gertrude%20Stein,/poets/gertrude-stein
154,Ellen%20Bryant%20Voigt,/poets/ellen-bryant-voigt
155,Giovanni%20Pascoli,/poets/giovanni-pascoli
156,Charlotte%20L.%20Forten%20Grimké,/poets/charlotte-l-forten-grimkae
157,Henry%20David%20Thoreau,/poets/henry-david-thoreau
158,Joshua%20Mehigan,/poets/joshua-mehigan
159,Susan%20Stewart,/poets/susan-stewart
160,Veronica%20Forrest-Thomson,/poets/veronica-forrest-thomson
161,Yang%20Lian,/poets/yang-lian
162,Michael%20McClure,/poets/michael-mcclure
163,Richard%20Emil%20Braun,/poets/richard-emil-braun
164,Alex%20Dimitrov,/poets/alex-dimitrov
165,Jean%20Valentine,/poets/jean-valentine
