,Poet,birthday
0,Ford Madox Ford,1873-12-17 00:00:00
1,George Bradley,1852-07-13 00:00:00
2,Meena Alexander,1951-02-17 00:00:00
3,Laurence Binyon,1869-08-10 00:00:00
4,Kevin Griffith,1950-01-17 00:00:00
5,Robert W. Service,1874-01-16 00:00:00
6,John Milton,1608-12-09 00:00:00
7,Sherman Alexie,1966-10-07 00:00:00
8,Jennifer Bartlett,1941-03-14 00:00:00
9,Nicole Brossard,1943-11-27 00:00:00
10,John Greenleaf Whittier,1807-12-17 00:00:00
11,Lorenzo Thomas,1804-10-26 00:00:00
12,Tomas Venclova,1937-09-11 00:00:00
13,Oni Buchanan,1975-03-09 00:00:00
14,John Masefield,1878-06-01 00:00:00
15,Bill Berkson,1939-08-30 00:00:00
16,Elfriede Jelinek,1946-10-20 00:00:00
17,Paul Laurence Dunbar,1872-06-27 00:00:00
18,Thomas Merton,1915-01-31 00:00:00
19,Lisel Mueller,1924-02-08 00:00:00
20,Tess Taylor,1977-10-24 00:00:00
21,Lev Oborin,1907-09-11 00:00:00
22,Frank Bidart,1939-05-27 00:00:00
23,Agha Shahid Ali,1949-02-04 00:00:00
24,Nathaniel Hawthorne,1804-07-04 00:00:00
25,Marge Piercy,1936-03-31 00:00:00
26,John Berryman,1914-10-25 00:00:00
27,Gary Soto,1952-04-12 00:00:00
28,Jane Yolen,1939-02-11 00:00:00
29,Petrarch,1304-07-20 00:00:00
30,Richard Michelson,1953-07-03 00:00:00
31,Ernest Dowson,1867-08-02 00:00:00
32,Jim Carroll,1949-08-01 00:00:00
33,Phillis Wheatley,1753-01-01 00:00:00
34,James Brown,1933-05-03 00:00:00
35,Sidney Lanier,1842-02-03 00:00:00
36,Robbie Coburn,1994-06-25 00:00:00
37,Gertrude Stein,1874-02-03 00:00:00
38,Giovanni Pascoli,1855-12-31 00:00:00
39,Henry David Thoreau,1817-07-12 00:00:00
40,Michael McClure,1932-10-20 00:00:00
41,Amy Lowell,1874-02-09 00:00:00
42,Dylan Thomas,1914-10-27 00:00:00
43,Esther Belin,1968-07-02 00:00:00
44,Li-Young Lee,1957-08-19 00:00:00
45,Tomaž Šalamun,1941-07-04 00:00:00
46,Mary Jo Bang,1946-10-22 00:00:00
47,John Ciardi,1916-06-24 00:00:00
48,Jack Collom,1931-11-08 00:00:00
49,Tracy K. Smith,1972-04-16 00:00:00
50,Pablo Antonio Cuadra,1912-11-04 00:00:00
51,Ellen Bass,1947-06-16 00:00:00
52,R. S. Gwynn,1948-05-13 00:00:00
53,Joseph Brodsky,1940-05-24 00:00:00
54,Joy Ladin,1961-03-24 00:00:00
55,Edgar Allan Poe,1809-01-19 00:00:00
56,Etel Adnan,1925-02-24 00:00:00
57,Jean Toomer,1894-12-26 00:00:00
58,E. Ethelbert Miller,1950-11-20 00:00:00
59,Rudyard Kipling,1865-12-30 00:00:00
60,James Merrill,1926-03-03 00:00:00
61,Laynie Browne,1966-08-26 00:00:00
62,Edmund Waller,1606-03-03 00:00:00
63,John Greening,1950-12-25 00:00:00
64,Nora Marks Dauenhauer,1927-05-08 00:00:00
65,Michelle Boisseau,1955-10-26 00:00:00
66,Philip Freneau,1752-01-02 00:00:00
67,Nick Flynn,1960-01-26 00:00:00
68,Dannie Abse,1923-09-22 00:00:00
69,Edmund Blunden,1896-11-01 00:00:00
70,Natalie Diaz,1978-09-04 00:00:00
71,Hans Magnus Enzensberger,1929-11-11 00:00:00
72,Paul Claudel,1868-08-06 00:00:00
73,Howard Nemerov,1920-02-29 00:00:00
74,David Budbill,1940-06-13 00:00:00
75,Adelaide Crapsey,1878-09-09 00:00:00
76,Gregory Corso,1930-03-26 00:00:00
77,Henry Timrod,1829-12-08 00:00:00
78,Alda Merini,1931-03-21 00:00:00
79,Fanny Howe,1940-10-15 00:00:00
